項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
四半期連結累計期間、要約四半期連結包括利益計算書（１計算書）（IFRS） [テキストブロック],107,CurrentYTDDuration,その他,期間,－
四半期連結損益計算書関係 [テキストブロック],107,CurrentYTDDuration,その他,期間,－
開発研究費、販売費及び一般管理費,106,Prior1YTDDuration,連結,期間,円
注記事項－子会社及び関連会社、連結財務諸表（IFRS） [テキストブロック],106,CurrentYearDuration,その他,期間,－
有価証券償還損、経常費用、保険業,106,Prior1InterimDuration,連結,期間,円
関係会社株式売却益（IFRS）,106,Prior1YearDuration,その他,期間,円
除却仮勘定、固定資産仮勘定、電気事業,106,Prior1YearInstant,連結,時点,円
子会社株式売却損益（△は益）、営業活動によるキャッシュ・フロー,106,Prior1YearDuration,連結,期間,円
信用保証収益、営業活動による収益,106,Prior1YTDDuration,連結,期間,円
為替差益、資産運用収益、経常収益、保険業,106,Prior1InterimDuration,連結,期間,円
立替金の増減額（△は増加）、営業活動によるキャッシュ・フロー,106,Prior1YTDDuration,連結,期間,円
剰余金（その他資本剰余金）の配当,105,CurrentYearDuration_CapitalSurplusMember,連結,期間,円
有価証券の消費貸借契約・消費寄託契約及び自由処分権を有する担保受入金融資産に関する注記 [テキストブロック],105,InterimInstant,その他,時点,－
減損損失累計額、工具、器具及び備品,105,Prior1YearInstant,連結,時点,円
従業員給付、非流動負債（IFRS）,105,Prior1YearInstant,その他,時点,円
コールマネー利息及び売渡手形利息、経常費用、銀行業,105,Prior1YearDuration,連結,期間,円
給料及び賃金、販売費及び一般管理費,105,Prior1YTDDuration,連結,期間,円
コールローン利息及び買入手形利息、経常収益、銀行業,105,Prior1YearDuration,連結,期間,円
事業譲渡益（IFRS）,105,Prior1YearDuration,その他,期間,円
税率変更による積立金の調整額,105,Prior1YearDuration_NonConsolidatedMember_ShareholdersEquityMember,個別,期間,円
減価償却費及び償却費、売上原価（IFRS）,104,Prior1YearDuration,その他,期間,円
注記事項－現金及び現金同等物、要約四半期連結財務諸表（IFRS） [テキストブロック],104,CurrentYTDDuration,その他,期間,－
営業債務及びその他の債務、負債（IFRS）,104,Prior1YearInstant,その他,時点,円
固定資産処分損、営業外費用,104,Prior1YTDDuration,連結,期間,円
投資不動産,104,Prior1YearInstant,連結,時点,円
デリバティブ資産、非流動資産（IFRS）,104,Prior1YearInstant,その他,時点,円
デリバティブ負債、流動負債（IFRS）,104,Prior1YearInstant,その他,時点,円
退職給付制度改定益、特別利益,104,Prior1YearDuration,連結,期間,円
デリバティブ負債、非流動負債（IFRS）,104,Prior1YearInstant,その他,時点,円
未成業務支出金,104,Prior1YearInstant,連結,時点,円
営業債権及びその他の債権、資産（IFRS）,104,Prior1YearInstant,その他,時点,円
重要な会計方針、中間財務諸表 [テキストブロック],103,InterimDuration,その他,期間,－
引当金、負債（IFRS）,103,Prior1YearInstant,その他,時点,円
劣後特約付借入金に関する注記 [テキストブロック],103,InterimInstant,その他,時点,－
販売用不動産、流動資産（IFRS）,103,Prior1YearInstant,その他,時点,円
割賦債務の返済による支出、財務活動によるキャッシュ・フロー,103,Prior1YTDDuration,連結,期間,円
有価証券の評価基準及び評価方法 [テキストブロック],102,CurrentYearDuration_NonConsolidatedMember,その他,期間,－
保険契約準備金,102,Prior1YearInstant,連結,時点,円
有価証券関係、中間財務諸表 [テキストブロック],102,InterimDuration,その他,期間,－
資産の評価基準及び評価方法 [テキストブロック],102,CurrentYearDuration_NonConsolidatedMember,その他,期間,－
減価償却累計額及び減損損失累計額、建物,102,Prior1YearInstant,連結,時点,円
使用権資産（純額）,102,Prior1YearInstant,連結,時点,円
配送費、販売費及び一般管理費,102,Prior1YTDDuration,連結,期間,円
金銭の信託の増加による支出、投資活動によるキャッシュ・フロー、保険業,102,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
解約返戻金、経常費用、保険業,102,Prior1InterimDuration,連結,期間,円
注記事項－非資金取引、連結財務諸表（IFRS） [テキストブロック],102,CurrentYearDuration,その他,期間,－
持分法損益等、財務諸表 [テキストブロック],102,CurrentYearDuration,その他,期間,－
中間貸借対照表 [テキストブロック],102,InterimDuration,その他,期間,－
事業整理損、営業活動によるキャッシュ・フロー,102,Prior1YTDDuration,連結,期間,円
中間損益計算書 [テキストブロック],102,InterimDuration,その他,期間,－
年金、経常費用、保険業,102,Prior1InterimDuration,連結,期間,円
減価償却額の注記 [テキストブロック],102,InterimDuration_NonConsolidatedMember,その他,期間,－
中間株主資本等変動計算書 [テキストブロック],102,InterimDuration,その他,期間,－
責任準備金の増減額（△は減少）、営業活動によるキャッシュ・フロー、保険業,102,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
減損損失累計額、リース資産、有形固定資産,101,CurrentYearInstant,連結,時点,円
受取和解金、営業活動によるキャッシュ・フロー,101,Prior1YTDDuration,連結,期間,円
固定資産処分損、特別損失、保険業、損害保険,100,Prior1InterimDuration,連結,期間,円
有価証券売却益、特別利益,100,Prior1YearDuration,連結,期間,円
現金及び現金同等物を対価とする事業の譲受け若しくは譲渡又は合併等を行った場合には、当該事業の譲受け若しくは譲渡又は合併等により増加又は減少した資産及び負債の主な内訳 [テキストブロック],100,CurrentYearDuration,その他,期間,－
災害損失引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,100,Prior1YearDuration,連結,期間,円
注記事項－棚卸資産、要約四半期連結財務諸表（IFRS） [テキストブロック],100,CurrentYTDDuration,その他,期間,－
退職給付制度終了益、特別利益,100,Prior1YTDDuration,連結,期間,円
短期社債（負債）の純増減（△）、営業活動によるキャッシュ・フロー、銀行業,100,Prior1InterimDuration,連結,期間,円
生命保険料、経常収益、保険業,100,Prior1InterimDuration,連結,期間,円
法人所得税、純損益に振り替えられる可能性のあるその他の包括利益（IFRS）,100,Prior1YTDDuration,その他,期間,円
工業所有権,100,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
収入積立保険料、経常収益、保険業,100,Prior1InterimDuration,連結,期間,円
責任準備金等、負債の部、保険業,100,Prior1YearInstant,連結,時点,円
満期返戻金、経常費用、保険業,100,Prior1InterimDuration,連結,期間,円
生命保険金等、経常費用、保険業,100,Prior1InterimDuration,連結,期間,円
持分法によるその他の包括利益（税引前）、純損益に振り替えられることのないその他の包括利益（IFRS）,100,Prior1YTDDuration,その他,期間,円
固定資産処分益、特別利益、保険業、損害保険,100,Prior1InterimDuration,連結,期間,円
債権流動化の返済による支出、財務活動によるキャッシュ・フロー、リース事業,100,Prior1YearDuration,連結,期間,円
給料手当、事業経費、建設保証業,100,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
減損損失累計額、建物及び構築物,100,Prior1YearInstant,連結,時点,円
株式数の増加に係る取得価額の合計額、非上場株式、保有目的が純投資目的以外の目的である投資株式、投資株式計上額が次に大きい会社,99,CurrentYearDuration,その他,期間,円
和解金、営業活動によるキャッシュ・フロー,99,Prior1YTDDuration,連結,期間,円
金融費用,98,Prior1YTDDuration,連結,期間,円
代理店借、負債の部、保険業,98,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
特別勘定資産運用損、経常費用、保険業,98,Prior1YearDuration,連結,期間,円
中間連結財務諸表作成のための基本となる重要な事項 [テキストブロック],98,InterimDuration,その他,期間,－
商品有価証券、資産の部、銀行業,98,Prior1YearInstant,連結,時点,円
代理店貸、資産の部、保険業,98,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
株式数が増加した銘柄数、非上場株式、保有目的が純投資目的以外の目的である投資株式、投資株式計上額が次に大きい会社,98,CurrentYearDuration,その他,期間,
株式数が増加した銘柄数、非上場株式以外の株式、保有目的が純投資目的以外の目的である投資株式、投資株式計上額が次に大きい会社,98,CurrentYearDuration,その他,期間,
負ののれん発生益（IFRS）,98,Prior1YearDuration,その他,期間,円
貸倒損失、営業外費用,98,Prior1YTDDuration,連結,期間,円
デリバティブ債務、流動負債,98,Prior1YearInstant,連結,時点,円
株式数の増加に係る取得価額の合計額、非上場株式以外の株式、保有目的が純投資目的以外の目的である投資株式、投資株式計上額が次に大きい会社,98,CurrentYearDuration,その他,期間,円
株式数が増加した理由、非上場株式以外の株式、保有目的が純投資目的以外の目的である投資株式、投資株式計上額が次に大きい会社,98,CurrentYearDuration,その他,期間,－
その他返戻金、経常費用、保険業,98,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
収用補償金、特別利益,98,Prior1YearDuration,連結,期間,円
借入れによる収入、財務活動によるキャッシュ・フロー,98,Prior1InterimDuration,連結,期間,円
その他の営業収入、営業活動による収益,97,Prior1YTDDuration,連結,期間,円
リース取引関係、中間連結財務諸表 [テキストブロック],97,InterimDuration,その他,期間,－
開発費、取得原価（IFRS）,97,Prior1YearInstant,その他,時点,円
